Flow ID,Flow,HS4 4 Digit ID,HS4 4 Digit,Date Year,State ID,State,Chapter 4 Digit ID,Chapter 4 Digit,Trade Value
2,Exports,10403,"Buttermilk (Butter), Milk and Cream Curds (Cream), Yogurt, Kephir and other Milk and Cream (Creams), Fermented or Acidified not Concentrated, Containing Added Sugar or other Sweetening Matter, Flavored or with Fruit or Nuts O Cacao",2021,19,Nuevo León,1,Animal Products,22333
2,Exports,10405,Butter (Butter) and other Fats and Oils Derived from Milk; Dairy Spreads,2021,9,Ciudad de México,1,Animal Products,411163
2,Exports,10405,Butter (Butter) and other Fats and Oils Derived from Milk; Dairy Spreads,2021,19,Nuevo León,1,Animal Products,140487
2,Exports,10406,Cheese and Curd,2021,9,Ciudad de México,1,Animal Products,895701
2,Exports,10406,Cheese and Curd,2021,14,Jalisco,1,Animal Products,13362185
2,Exports,10406,Cheese and Curd,2021,19,Nuevo León,1,Animal Products,123248
2,Exports,10409,Natural Honey,2021,9,Ciudad de México,1,Animal Products,15727523
2,Exports,10409,Natural Honey,2021,14,Jalisco,1,Animal Products,7865751
2,Exports,10504,"Guts, Bladders and Stomachs of Animals other than Fish, whole and Pieces Thereof, Fresh, Chilled, Frozen, Salted or in Brine, Dried or Smoked",2021,19,Nuevo León,1,Animal Products,4099690
2,Exports,10504,"Guts, Bladders and Stomachs of Animals other than Fish, whole and Pieces Thereof, Fresh, Chilled, Frozen, Salted or in Brine, Dried or Smoked",2021,26,Sonora,1,Animal Products,1855779
2,Exports,10506,"Bones and Horn-Cores, Unworked, Defatted, Simply Prepared (But not Cut to Shape), Treated with Acid or Degelatinised; Powder and Waste of these Products",2021,26,Sonora,1,Animal Products,1015495
2,Exports,10511,"Products of Animal Origin not Specified or Included Elsewhere; Dead Animals of Chapter 1 or 3, Unfit for Human Consumption",2021,9,Ciudad de México,1,Animal Products,1135925
2,Exports,10511,"Products of Animal Origin not Specified or Included Elsewhere; Dead Animals of Chapter 1 or 3, Unfit for Human Consumption",2021,19,Nuevo León,1,Animal Products,847289
2,Exports,10511,"Products of Animal Origin not Specified or Included Elsewhere; Dead Animals of Chapter 1 or 3, Unfit for Human Consumption",2021,26,Sonora,1,Animal Products,2010710
2,Exports,20602,"Other Live Plants (Including their Roots), Cuttings and Slips; Mycelia",2021,9,Ciudad de México,2,Vegetable Products,397212
2,Exports,20602,"Other Live Plants (Including their Roots), Cuttings and Slips; Mycelia",2021,14,Jalisco,2,Vegetable Products,35564
2,Exports,20603,"Flowers and Buds, Cut for Bouquets or Ornamental Purposes, Fresh, Dried, Bleached, Dyed, Impregnated or otherwise Prepared",2021,14,Jalisco,2,Vegetable Products,2694354
2,Exports,20603,"Flowers and Buds, Cut for Bouquets or Ornamental Purposes, Fresh, Dried, Bleached, Dyed, Impregnated or otherwise Prepared",2021,19,Nuevo León,2,Vegetable Products,238840
2,Exports,20604,"Foliage, Branches and other Parts of Plants, without Flowers or Flower Buds, and Grasses, Mosses and Lichens, for Bouquets or Ornamental Purposes, Fresh, Dried, Bleached, Dyed, otherwise Prepared",2021,9,Ciudad de México,2,Vegetable Products,757919
2,Exports,20604,"Foliage, Branches and other Parts of Plants, without Flowers or Flower Buds, and Grasses, Mosses and Lichens, for Bouquets or Ornamental Purposes, Fresh, Dried, Bleached, Dyed, otherwise Prepared",2021,14,Jalisco,2,Vegetable Products,2213463
2,Exports,20604,"Foliage, Branches and other Parts of Plants, without Flowers or Flower Buds, and Grasses, Mosses and Lichens, for Bouquets or Ornamental Purposes, Fresh, Dried, Bleached, Dyed, otherwise Prepared",2021,19,Nuevo León,2,Vegetable Products,196627
2,Exports,20702,Tomatoes Fresh or Chilled,2021,9,Ciudad de México,2,Vegetable Products,22116985
2,Exports,20702,Tomatoes Fresh or Chilled,2021,14,Jalisco,2,Vegetable Products,215735994
2,Exports,20702,Tomatoes Fresh or Chilled,2021,19,Nuevo León,2,Vegetable Products,46763155
2,Exports,20702,Tomatoes Fresh or Chilled,2021,26,Sonora,2,Vegetable Products,222532483
2,Exports,20703,"Onions, Shallots, Garlic, Leeks and other Alliaceous Vegetables, Fresh or Chilled",2021,9,Ciudad de México,2,Vegetable Products,1826409
2,Exports,20703,"Onions, Shallots, Garlic, Leeks and other Alliaceous Vegetables, Fresh or Chilled",2021,14,Jalisco,2,Vegetable Products,63410
2,Exports,20703,"Onions, Shallots, Garlic, Leeks and other Alliaceous Vegetables, Fresh or Chilled",2021,19,Nuevo León,2,Vegetable Products,11784113
2,Exports,20703,"Onions, Shallots, Garlic, Leeks and other Alliaceous Vegetables, Fresh or Chilled",2021,26,Sonora,2,Vegetable Products,49391159
2,Exports,20704,"Coles, Including Cabbage, Cauliflower and Gender Related Products Food Brassicas, Fresh or Chilled",2021,9,Ciudad de México,2,Vegetable Products,384481
2,Exports,20704,"Coles, Including Cabbage, Cauliflower and Gender Related Products Food Brassicas, Fresh or Chilled",2021,14,Jalisco,2,Vegetable Products,5221167
2,Exports,20704,"Coles, Including Cabbage, Cauliflower and Gender Related Products Food Brassicas, Fresh or Chilled",2021,19,Nuevo León,2,Vegetable Products,1275840
2,Exports,20704,"Coles, Including Cabbage, Cauliflower and Gender Related Products Food Brassicas, Fresh or Chilled",2021,26,Sonora,2,Vegetable Products,38575383
2,Exports,20705,"Lettuce (Lactuca Sativa) and Chicory, Including the and Chicory (Cichorium Spp.), Fresh or Chilled",2021,9,Ciudad de México,2,Vegetable Products,8428
2,Exports,20705,"Lettuce (Lactuca Sativa) and Chicory, Including the and Chicory (Cichorium Spp.), Fresh or Chilled",2021,19,Nuevo León,2,Vegetable Products,6164287
2,Exports,20705,"Lettuce (Lactuca Sativa) and Chicory, Including the and Chicory (Cichorium Spp.), Fresh or Chilled",2021,26,Sonora,2,Vegetable Products,20145563
2,Exports,20706,"Carrots, Turnips, Salad Beetroot, Salsify, Celeriac, Radishes and Similar Edible Roots, Fresh or Chilled",2021,9,Ciudad de México,2,Vegetable Products,1458813
2,Exports,20706,"Carrots, Turnips, Salad Beetroot, Salsify, Celeriac, Radishes and Similar Edible Roots, Fresh or Chilled",2021,14,Jalisco,2,Vegetable Products,4363962
2,Exports,20706,"Carrots, Turnips, Salad Beetroot, Salsify, Celeriac, Radishes and Similar Edible Roots, Fresh or Chilled",2021,19,Nuevo León,2,Vegetable Products,2097089
2,Exports,20706,"Carrots, Turnips, Salad Beetroot, Salsify, Celeriac, Radishes and Similar Edible Roots, Fresh or Chilled",2021,26,Sonora,2,Vegetable Products,6293102
2,Exports,20707,"Cucumbers and Gherkins, Fresh or Chilled",2021,9,Ciudad de México,2,Vegetable Products,1849986
2,Exports,20707,"Cucumbers and Gherkins, Fresh or Chilled",2021,14,Jalisco,2,Vegetable Products,46492062
2,Exports,20707,"Cucumbers and Gherkins, Fresh or Chilled",2021,19,Nuevo León,2,Vegetable Products,1836701
2,Exports,20707,"Cucumbers and Gherkins, Fresh or Chilled",2021,26,Sonora,2,Vegetable Products,107212283
2,Exports,20708,"Leguminous Vegetables, Unshelled, Fresh or Chilled",2021,9,Ciudad de México,2,Vegetable Products,486045
2,Exports,20708,"Leguminous Vegetables, Unshelled, Fresh or Chilled",2021,14,Jalisco,2,Vegetable Products,83501
2,Exports,20708,"Leguminous Vegetables, Unshelled, Fresh or Chilled",2021,19,Nuevo León,2,Vegetable Products,359469
2,Exports,20708,"Leguminous Vegetables, Unshelled, Fresh or Chilled",2021,26,Sonora,2,Vegetable Products,5558574
2,Exports,20709,"Other Vegetables, Fresh or Chilled",2021,9,Ciudad de México,2,Vegetable Products,43096836
2,Exports,20709,"Other Vegetables, Fresh or Chilled",2021,14,Jalisco,2,Vegetable Products,103771055
2,Exports,20709,"Other Vegetables, Fresh or Chilled",2021,19,Nuevo León,2,Vegetable Products,86194111
2,Exports,20709,"Other Vegetables, Fresh or Chilled",2021,26,Sonora,2,Vegetable Products,741584799
2,Exports,20710,"Vegetables, even if they Cooked in Water or Steam, Frozen",2021,9,Ciudad de México,2,Vegetable Products,127671
2,Exports,20710,"Vegetables, even if they Cooked in Water or Steam, Frozen",2021,14,Jalisco,2,Vegetable Products,767835
2,Exports,20710,"Vegetables, even if they Cooked in Water or Steam, Frozen",2021,26,Sonora,2,Vegetable Products,9915511
2,Exports,20712,"Dried Vegetables, Whole, Cut in Pieces or Sliced, Crushed or Ground, but not further Prepared",2021,9,Ciudad de México,2,Vegetable Products,169716
2,Exports,20712,"Dried Vegetables, Whole, Cut in Pieces or Sliced, Crushed or Ground, but not further Prepared",2021,14,Jalisco,2,Vegetable Products,12120136
2,Exports,20712,"Dried Vegetables, Whole, Cut in Pieces or Sliced, Crushed or Ground, but not further Prepared",2021,19,Nuevo León,2,Vegetable Products,54296
2,Exports,20713,"Dried Leguminous Vegetables, Shelled, whether or not Skinned or Split",2021,9,Ciudad de México,2,Vegetable Products,5542825
2,Exports,20713,"Dried Leguminous Vegetables, Shelled, whether or not Skinned or Split",2021,14,Jalisco,2,Vegetable Products,21967031
2,Exports,20713,"Dried Leguminous Vegetables, Shelled, whether or not Skinned or Split",2021,19,Nuevo León,2,Vegetable Products,8306090
2,Exports,20713,"Dried Leguminous Vegetables, Shelled, whether or not Skinned or Split",2021,26,Sonora,2,Vegetable Products,64717192
2,Exports,20714,"Manioc (Cassava), Arrowroot, Salep, (Patacas), Yams (Sweet Potatoes, Yams) and Similar Roots and Tubers with High Starch or Inulin Content, Fresh, Chilled, Frozen or Dried, whole or Sliced ??""Pellets""; Sago Pith",2021,9,Ciudad de México,2,Vegetable Products,265880
2,Exports,20714,"Manioc (Cassava), Arrowroot, Salep, (Patacas), Yams (Sweet Potatoes, Yams) and Similar Roots and Tubers with High Starch or Inulin Content, Fresh, Chilled, Frozen or Dried, whole or Sliced ??""Pellets""; Sago Pith",2021,19,Nuevo León,2,Vegetable Products,457221
2,Exports,20801,"Coconuts, Brazil Nuts and Cashew Nuts (Merey, Cajuil, Cashew, 'Cashew'), Fresh or Dried, Shelled or Peeled",2021,14,Jalisco,2,Vegetable Products,2902718
2,Exports,20801,"Coconuts, Brazil Nuts and Cashew Nuts (Merey, Cajuil, Cashew, 'Cashew'), Fresh or Dried, Shelled or Peeled",2021,19,Nuevo León,2,Vegetable Products,847403
2,Exports,20802,"The other Nuts, Fresh or Dried, Shelled or Peeled",2021,9,Ciudad de México,2,Vegetable Products,467120
2,Exports,20802,"The other Nuts, Fresh or Dried, Shelled or Peeled",2021,19,Nuevo León,2,Vegetable Products,32775345
2,Exports,20802,"The other Nuts, Fresh or Dried, Shelled or Peeled",2021,26,Sonora,2,Vegetable Products,50912051
2,Exports,20803,"Bananas, Including Plantains ""Plantains"" Fresh or Dried",2021,9,Ciudad de México,2,Vegetable Products,42258319
2,Exports,20803,"Bananas, Including Plantains ""Plantains"" Fresh or Dried",2021,14,Jalisco,2,Vegetable Products,7855393
2,Exports,20803,"Bananas, Including Plantains ""Plantains"" Fresh or Dried",2021,19,Nuevo León,2,Vegetable Products,10085536
2,Exports,20803,"Bananas, Including Plantains ""Plantains"" Fresh or Dried",2021,26,Sonora,2,Vegetable Products,27330383
2,Exports,20804,"Figs, Pineapples Avocados, Guava, Mangoes, Fresh or Dried",2021,9,Ciudad de México,2,Vegetable Products,22032800
2,Exports,20804,"Figs, Pineapples Avocados, Guava, Mangoes, Fresh or Dried",2021,14,Jalisco,2,Vegetable Products,282326543
2,Exports,20804,"Figs, Pineapples Avocados, Guava, Mangoes, Fresh or Dried",2021,19,Nuevo León,2,Vegetable Products,24199531
2,Exports,20804,"Figs, Pineapples Avocados, Guava, Mangoes, Fresh or Dried",2021,26,Sonora,2,Vegetable Products,26958736
2,Exports,20805,Agrios (Citrus) Fresh or Dried,2021,9,Ciudad de México,2,Vegetable Products,64280658
2,Exports,20805,Agrios (Citrus) Fresh or Dried,2021,14,Jalisco,2,Vegetable Products,31638354
2,Exports,20805,Agrios (Citrus) Fresh or Dried,2021,19,Nuevo León,2,Vegetable Products,32174280
2,Exports,20805,Agrios (Citrus) Fresh or Dried,2021,26,Sonora,2,Vegetable Products,27416128
2,Exports,20806,"Grapes, Fresh or Dried, Raisins",2021,9,Ciudad de México,2,Vegetable Products,9657098
2,Exports,20806,"Grapes, Fresh or Dried, Raisins",2021,14,Jalisco,2,Vegetable Products,1181419
